,startup_name,expert_name,How well can team execute their presented plans ?,How strong is the team composition in terms of its complementary skills and completeness of critical functions ?,How high did you sense was the passion of the founder/founding team ?,How high is the clarity and understanding of the team re: different customer personas ?,How unique & differentiated is the value proposition ?,How large is the absolute market opportunity for the venture ?,How impressive is the early stage traction and adoption of the product in the market ?,How high is the competitive index given direct competition & available alternatives for the proposed offering by the venture ?,How high is the strength of revenue projection in the business model ?,How lucrative does the exit potential for this business appears with either of the possible ways viz: potential trade sales or M&A with big Cos or IPO etc. ?,How high is trend momentum for the domain that startup is active in with its offerings ?,How relevant do the metrics and milestones of of this business model appear ?,How high is the defensibility of the solution from technology or any operating leverage point of view ?,How high is the business momentum and pipeline of business ?,How high are the chances for the business to extend beyond its currently served markets ?,How high is the competitive advantage for this business ?,How high are the chances for the business to extend beyond its currently served geographies ?,Overall Assessment
4,MIFON,Jawahar Kanjilal,0.5,0.5,0.75,0.5,0.25,0.75,0.25,0.25,0.25,0.5,0.25,0.5,0.25,0.25,1.0,0.25,0.75,0.0
5,101.careers,Jawahar Kanjilal,0.75,0.75,1.0,1.0,0.75,0.5,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.75,1.0,0.75,0.75,0.5
6,Ayoslide,Jawahar Kanjilal,0.75,0.75,0.75,1.0,1.0,0.75,0.75,0.5,0.75,0.5,0.5,1.0,0.5,0.75,1.0,0.75,1.0,1.0
7,Air Freight Bazaar,Jawahar Kanjilal,1.0,1.0,1.0,0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.5,1.0,0.75,0.5,0.75,0.75,0.75,0.5
8,FINIZZ,Jawahar Kanjilal,0.75,0.5,0.75,1.0,0.5,0.5,0.5,0.75,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.75,0.75,1.0
9,CheQQme,Jawahar Kanjilal,0.75,1.0,1.0,0.75,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.75,0.0
10,Invento Robotics,Aalok Agrawal,0.75,0.75,1.0,0.75,0.75,0.5,0.75,0.25,0.25,0.75,0.75,0.5,0.75,1.0,0.5,0.5,0.5,0.5
11,Solarite Technologies Pte. Ltd.,Aalok Agrawal,0.5,0.5,1.0,0.75,0.75,1.0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.5
12,Popular Chips,Aalok Agrawal,0.75,0.5,0.5,0.75,0.5,0.5,0.75,1.0,0.5,1.0,0.75,0.5,0.75,0.75,0.75,0.25,0.75,0.5
13,SuperFan.Ai,Aalok Agrawal,1.0,0.75,1.0,0.75,0.75,1.0,0.75,0.5,0.5,1.0,0.75,1.0,0.75,0.75,0.75,0.5,0.5,1.0
14,Kenyt.ai,Prashant,0.5,0.5,1.0,0.5,0.5,0.75,0.5,1.0,0.5,0.5,0.75,0.5,0.25,0.5,0.5,0.5,0.5,0.5
15,Tesseract Global Technologies Pvt Ltd,Prashant,0.25,0.5,0.75,0.25,0.25,0.75,0.25,0.75,0.25,0.25,0.75,0.0,0.25,0.25,0.25,0.25,0.25,0.0
16,Sherpa Funds Technology,Jatin Rajput,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.75,0.5,0.75,0.0
17,Pingal Technologies Pvt Limited,Jatin Rajput,0.75,0.75,0.75,1.0,0.75,1.0,0.75,1.0,0.5,0.75,1.0,1.0,0.5,0.5,0.75,0.5,0.75,0.5
18,repup.co,Jatin Rajput,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.75,1.0,0.75,1.0,0.75,0.75,0.75,0.75,1.0,0.5
19,Limitless,Jatin Rajput,0.75,0.5,1.0,1.0,0.75,1.0,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.5,1.0,0.75,1.0,0.5
20,Bank2grow.com,Jatin Rajput,0.75,0.5,0.5,0.75,0.5,0.75,0.5,1.0,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5
21,Brisil Technologies Private Limited,Siddarth Das,0.75,0.75,0.75,0.5,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.25,0.75,0.5,1.0
22,EmotionReader,Siddarth Das,1.0,1.0,1.0,0.75,1.0,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0
23,Popular Chips,Siddarth Das,0.75,0.5,0.75,0.5,0.75,1.0,0.75,0.75,0.75,1.0,0.75,0.5,0.75,0.75,0.5,0.75,0.5,1.0
24,SuperFan.Ai,Siddarth Das,1.0,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0
25,hashprep,Siddarth Das,0.5,0.5,0.75,0.5,0.75,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.5
26,BotFactory,Siddarth Das,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,1.0,0.5,0.75,0.75,0.75,0.75,1.0
27,GroSum,Sandeep Khanna,0.25,0.25,0.75,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.0
28,GamerHours,Sandeep Khanna,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.0
29,HyperXchange,Sandeep Khanna,0.75,0.75,0.75,0.75,0.5,1.0,0.5,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.5,0.75,0.75,1.0
30,BYKidO,Sandeep Khanna,0.5,0.5,0.75,0.5,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.0
31,NayaGaadi,Sandeep Khanna,0.5,0.5,1.0,0.75,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.5
32,forBinary,Aalok Doshi,0.75,0.75,1.0,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5
33,Pilot Automotive Labs,Aalok Doshi,1.0,0.75,0.75,1.0,0.5,1.0,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.25,0.5,0.5
34,Quickscrum,Aalok Doshi,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.0
35,"BlobCity, Inc",Aalok Doshi,0.75,0.75,1.0,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.5
36,SuperFan.Ai,Aalok Doshi,1.0,0.75,1.0,1.0,0.75,1.0,0.75,0.75,0.5,0.75,1.0,0.5,0.75,0.75,0.75,0.75,0.5,1.0
37,Popular Chips,Aalok Doshi,1.0,0.5,1.0,0.75,0.5,0.75,1.0,0.75,0.5,1.0,0.75,0.5,0.75,0.75,0.75,0.75,0.75,1.0
38,forBinary,Franklin Margolis,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.0
39,Kenyt.ai,Franklin Margolis,0.5,0.75,0.75,0.25,0.5,0.5,0.25,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.25,0.0
40,AIRPORTELs,Franklin Margolis,0.75,0.75,1.0,0.75,0.5,0.75,0.75,0.75,0.75,0.5,0.5,1.0,0.5,0.75,0.75,0.75,0.75,1.0
41,Got It,Franklin Margolis,0.75,1.0,0.5,0.75,0.5,1.0,0.75,1.0,0.25,0.75,0.5,1.0,0.5,0.75,0.75,0.5,0.75,1.0
42,GetFly,Franklin Margolis,0.5,0.5,0.75,0.5,0.25,1.0,0.5,0.25,0.5,0.5,0.75,0.5,0.25,0.5,0.25,0.25,0.25,0.5
43,MIFON,sridhar,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5
44,hashprep,sridhar,1.0,0.75,1.0,1.0,0.75,1.0,0.75,0.5,0.75,0.75,0.5,1.0,0.75,0.75,1.0,0.75,1.0,1.0
45,HeartSmart,sridhar,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0.25,0.5,0.5,0.0
46,BRIGHTFOX LEARNING SOLUTIONS LLP,sridhar,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.25,0.25,0.0
47,Got It,sridhar,1.0,1.0,1.0,0.75,0.75,0.5,1.0,0.5,0.5,0.75,0.5,1.0,0.75,0.75,0.5,0.75,0.5,1.0
48,Into23,sridhar,0.5,0.75,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.5
49,CoPRO Technologies,Himmat Singh,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.75,0.5,0.5,0.5
50,Medinfi Healthcare Pvt Ltd,Himmat Singh,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.75,0.75,1.0,0.75,1.0,0.75,0.75,1.0,0.75,1.0,1.0
51,TripUthao,Himmat Singh,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
52,Juno Clinic,Himmat Singh,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.75,1.0,1.0,0.75,1.0,0.75,0.75,1.0,0.75,1.0,1.0
53,Alakazam,Himmat Singh,0.75,0.75,1.0,0.75,0.75,1.0,0.75,0.75,0.5,0.75,1.0,0.5,1.0,0.75,1.0,0.75,0.75,0.5
54,GetFly,Paresh gupta,1.0,1.0,1.0,0.75,0.5,1.0,1.0,0.75,0.75,0.75,0.75,1.0,0.5,0.75,1.0,0.5,0.75,1.0
55,CoPRO Technologies,Paresh gupta,0.5,0.75,0.75,0.5,0.5,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
56,Juno Clinic,Paresh gupta,1.0,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.5,0.5,0.5,1.0,0.75,1.0,0.75,0.75,0.75,1.0
57,Woofyz Pet Services Pvt Ltd,Paresh gupta,0.75,0.75,1.0,1.0,0.75,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.75,0.75,0.75,0.5,0.5,0.5
58,SmartClean Technologies Pte Ltd,Paresh gupta,0.75,1.0,0.75,1.0,1.0,0.75,0.5,0.75,0.75,0.5,0.75,1.0,1.0,0.5,0.75,0.75,0.75,1.0
59,Quickscrum,Paresh gupta,0.75,0.75,0.75,0.5,0.5,0.75,0.25,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5
60,Onspon.com,David Isaac,0.75,0.75,0.75,1.0,0.75,0.5,0.5,0.5,0.5,0.75,1.0,0.0,0.75,0.75,0.5,0.75,0.75,1.0
61,Stones2Milestones,David Isaac,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0.75,1.0
62,DiskountMonkey,David Isaac,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.5,0.5,0.5,0.75,0.5,0.75,0.5
63,Waitrr,David Isaac,0.75,0.75,0.75,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0
64,PriceMap,David Isaac,0.75,0.75,1.0,0.5,0.75,1.0,0.75,1.0,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.5
65,Alakazam,David Isaac,0.5,0.75,1.0,0.25,0.5,0.75,0.5,0.5,0.5,0.75,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5
66,Pilot Automotive Labs,DHAVAL AGARWAL,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,1.0,0.75,0.75,0.5
67,Go Plus,DHAVAL AGARWAL,0.75,0.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.5
68,carmen automotive pte ltd,DHAVAL AGARWAL,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.75,0.75,1.0,0.75,1.0,1.0
69,NayaGaadi,DHAVAL AGARWAL,0.75,0.75,1.0,1.0,0.5,1.0,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
70,Drones Tech Lab,David Wai Lun Ng,0.5,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.0
71,Canopy Power Pte. Ltd.,David Wai Lun Ng,1.0,0.75,1.0,1.0,0.75,1.0,0.75,0.5,0.75,0.75,0.75,1.0,0.75,0.75,1.0,0.75,1.0,0.5
72,gridComm,David Wai Lun Ng,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.5,0.75,0.75,0.75,1.0,0.5,1.0,0.75,0.75,0.75,0.5
73,PHI,David Wai Lun Ng,0.75,1.0,1.0,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.75,1.0,0.5,0.75,1.0,0.5,0.75,0.5
74,HeartSmart,David Wai Lun Ng,0.75,0.5,0.75,1.0,0.75,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5
75,PriceMap,Vishesh Dhingra,0.75,0.5,0.75,0.75,1.0,0.75,0.5,0.75,0.5,0.75,0.75,0.5,0.75,0.5,0.75,0.75,0.5,1.0
76,Kenyt.ai,Vishesh Dhingra,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5
77,Stones2Milestones,Vishesh Dhingra,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.5,0.75,0.5,1.0
78,University Living Accommodation Pvt Ltd,Vishesh Dhingra,1.0,0.75,1.0,1.0,0.75,0.75,1.0,0.75,0.75,0.75,0.75,1.0,0.75,1.0,0.75,0.75,0.75,1.0
79,FitThree ,Vishesh Dhingra,0.75,0.75,0.75,1.0,1.0,0.75,0.75,1.0,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.5
80,Brisil Technologies Private Limited,Rad,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.25,1.0,0.25,0.5,0.25,0.25,0.25,0.0
81,carmen automotive pte ltd,Rad,0.75,0.75,0.75,0.5,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.0
82,PHI,Rad,0.5,0.75,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.25,0.25,0.25,0.0
83,HeartSmart,Yeo Su Ling,0.75,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
84,Into23,Yeo Su Ling,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.25,0.5,0.5,0.25,0.5,0.0
85,AIRPORTELs,Yeo Su Ling,0.75,0.5,0.75,0.75,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.75,1.0
86,Medinfi Healthcare Pvt Ltd,Yeo Su Ling,0.75,0.75,0.5,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,1.0,1.0
87,BYKidO,Tarun Nallu,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.25,0.5,0.5,0.5,0.25,0.5,0.75,0.75,0.75,0.5
88,Eunimart Crossborder Pte Ltd,Tarun Nallu,0.75,1.0,0.75,0.75,0.5,1.0,0.5,0.75,0.75,0.75,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.5
89,Sepio Products,Tarun Nallu,0.75,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0.25,0.5
90,Blonk,Tarun Nallu,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.75,0.75,0.75,0.5
91,repup.co,Tarun Nallu,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.5,0.75,0.75,1.0,1.0,1.0
92,OhPhish Technologies Private Limited,Tarun Nallu,0.5,0.25,0.25,0.5,0.5,0.75,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0.25,0.5,0.25,0.5,0.5
93,GamerHours,Tarun Nallu,0.5,0.75,0.75,0.25,0.25,0.5,0.25,0.75,0.25,0.5,0.5,0.5,0.25,0.25,0.5,0.25,0.75,0.0
94,gridComm,Paddy,0.75,1.0,0.5,1.0,1.0,0.75,0.5,1.0,0.5,1.0,0.75,1.0,1.0,0.5,1.0,0.75,1.0,1.0
95,Brisil Technologies Private Limited,Paddy,0.75,0.75,0.75,0.5,0.5,0.75,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5
96,Drones Tech Lab,Paddy,0.75,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.75,1.0,0.5,0.75,1.0
97,Go Plus,Paddy,0.25,0.25,0.5,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.75,1.0,0.5,0.25,0.75,0.5,0.75,0.5
98,Solarite Technologies Pte. Ltd.,Paddy,0.5,0.5,0.75,0.5,0.75,1.0,0.25,0.75,0.5,1.0,1.0,1.0,0.5,0.25,1.0,0.75,1.0,1.0
99,Luminociti Networks,Paddy,0.75,0.5,0.75,0.5,0.5,0.75,0.5,0.25,0.25,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.0
100,FitThree ,Nandini Das Ghoshal,1.0,0.75,1.0,0.5,0.75,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.5,0.75,0.5
101,Waitrr,Nandini Das Ghoshal,0.75,0.75,1.0,1.0,0.5,1.0,0.75,0.5,1.0,0.75,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0
102,BRIGHTFOX LEARNING SOLUTIONS LLP,Nandini Das Ghoshal,0.75,1.0,0.75,0.75,0.75,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.5
103,EmotionReader,Nandini Das Ghoshal,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.5,1.0,1.0,1.0,1.0
104,DiskountMonkey,Nandini Das Ghoshal,0.75,0.5,0.75,0.75,1.0,1.0,0.5,0.75,1.0,0.5,0.75,0.5,0.75,0.75,1.0,0.75,0.75,0.5
105,Popular Chips,Niraj Nagpal,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.25,0.5
106,MIFON,Niraj Nagpal,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.0
107,101.careers,Niraj Nagpal,0.75,0.75,1.0,0.75,0.5,0.75,0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.75,0.5,0.5,0.5
108,EmotionReader,Niraj Nagpal,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5
109,forBinary,Niraj Nagpal,0.75,0.75,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.5,0.75,1.0,0.75,1.0,0.75,0.75,0.75,0.5
110,hashprep,Niraj Nagpal,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,1.0,0.5,0.75,0.5,0.5,0.25,1.0
111,HyperXchange,Osborne Saldanha,0.5,0.75,1.0,0.5,0.25,1.0,0.5,0.25,0.5,0.5,0.25,0.5,0.25,0.5,0.5,0.25,0.25,0.5
112,Sepio Products,Osborne Saldanha,0.5,0.75,1.0,0.75,0.25,0.75,0.5,0.25,0.5,0.25,0.5,0.5,0.25,0.25,0.75,0.25,0.75,0.5
113,Woofyz Pet Services Pvt Ltd,Osborne Saldanha,0.75,0.75,0.75,0.25,0.25,1.0,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.5,0.5,0.25,0.75,0.5
114,TripUthao,Osborne Saldanha,0.5,0.75,1.0,0.5,0.25,1.0,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.75,0.25,0.75,0.5
115,Air Freight Bazaar,Osborne Saldanha,0.25,0.75,1.0,0.75,0.5,1.0,0.25,0.25,0.25,0.5,0.25,0.5,0.25,0.75,0.5,0.25,0.75,0.5
116,"Astra IT, INC - Czar Securities",Sriman Kota,0.75,0.5,0.75,1.0,0.5,1.0,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.5,0.75,0.5
117,GetPY Analytics,Sriman Kota,0.75,0.75,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
118,Velox Network Pte Ltd,Sriman Kota,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.75,1.0,0.75,1.0,0.75,0.75,0.75,0.75,0.5,1.0
119,101.careers,Sriman Kota,0.75,0.5,0.75,0.75,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.25,0.5,0.5
120,Canopy Power Pte. Ltd.,Sriman Kota,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.75,0.5,0.5,0.75,1.0
121,Ayoslide,Shyam Ayengar,0.75,0.75,0.75,0.75,0.25,0.5,0.75,1.0,0.5,0.5,0.5,1.0,0.75,0.75,0.5,0.5,0.5,0.5
122,Limitless,Shyam Ayengar,1.0,0.75,0.75,1.0,0.5,0.75,0.5,0.75,0.75,0.75,1.0,1.0,0.5,0.75,1.0,0.5,1.0,1.0
123,Eunimart Crossborder Pte Ltd,Shyam Ayengar,0.75,1.0,1.0,0.75,0.75,0.75,0.75,0.5,0.75,1.0,1.0,1.0,0.5,0.75,1.0,0.75,1.0,1.0
124,Bank2grow.com,Shyam Ayengar,0.5,0.5,0.5,0.5,0.25,0.75,0.25,0.5,0.5,0.75,1.0,1.0,0.25,0.5,0.5,0.5,0.75,0.5
125,Pingal Technologies Pvt Limited,Shyam Ayengar,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5
126,"Astra IT, INC - Czar Securities",Lux Anantharaman,0.5,0.25,0.75,0.5,0.25,1.0,0.5,0.25,0.5,0.75,0.75,0.5,0.25,0.25,0.25,0.25,0.25,0.0
127,SmartClean Technologies Pte Ltd,Lux Anantharaman,0.75,1.0,0.75,0.75,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.25,0.5,0.75,0.5,0.75,0.5
128,Tesseract Global Technologies Pvt Ltd,Lux Anantharaman,0.5,0.75,0.5,0.5,0.25,1.0,0.5,0.25,0.5,0.75,0.75,0.5,0.25,0.5,0.25,0.25,0.25,0.0
129,"BlobCity, Inc",Lux Anantharaman,0.5,0.25,0.75,0.5,0.25,1.0,0.5,0.25,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.25,0.0
130,Invento Robotics,Lux Anantharaman,0.5,0.75,1.0,0.75,0.5,1.0,1.0,0.5,0.75,1.0,1.0,0.5,0.5,0.75,0.75,0.5,0.5,1.0
131,Luminociti Networks,Lux Anantharaman,0.5,0.5,0.5,0.25,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0.75,0.0
132,Velox Network Pte Ltd,Lux Anantharaman,0.75,0.25,0.75,0.5,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.75,0.25,0.75,0.5
133,FINIZZ,Ramm,0.75,0.75,0.75,0.75,0.25,0.75,0.5,1.0,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5
134,Solarite Technologies Pte. Ltd.,Ramm,0.75,0.75,0.75,0.5,0.5,0.75,0.25,0.75,0.75,0.75,0.25,0.5,0.5,0.25,0.75,0.5,0.75,0.5
135,University Living Accommodation Pvt Ltd,Ramm,1.0,1.0,1.0,1.0,0.5,0.75,0.75,1.0,0.75,1.0,0.75,1.0,0.5,0.75,1.0,0.5,1.0,1.0
136,GetPY Analytics,Mark Florance,0.5,0.5,0.75,0.75,0.5,0.5,0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.0
137,BotFactory,Mark Florance,0.25,0.5,0.5,0.5,0.5,0.75,0.25,0.5,0.5,0.75,0.75,0.5,0.5,0.25,0.25,0.5,0.25,0.0
138,Singapore E-Business Pte Ltd,Mark Florance,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,1.0,0.75,0.5,0.5,0.75,0.5,0.5
139,Onspon.com,Mark Florance,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.75,1.0,1.0,0.75,0.75,0.5,0.75,0.25,0.5
140,BLUE LOTUS 360,Mark Florance,0.5,0.5,0.5,0.75,0.5,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.0
141,Singapore E-Business Pte Ltd,Mustafa Kapasi,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0
142,CheQQme,Mustafa Kapasi,0.75,0.75,1.0,1.0,0.25,1.0,0.25,1.0,0.25,0.25,0.25,0.5,0.75,0.25,1.0,0.25,1.0,0.0
143,BLUE LOTUS 360,Mustafa Kapasi,0.75,0.5,0.75,0.75,0.5,0.75,0.75,0.25,0.5,0.5,0.75,0.5,0.75,0.5,1.0,0.5,1.0,0.5
144,Oh phish,Mehul Khimasia ,0.5,0.25,0.25,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0.75,0.0
145,Sherpa,Mehul Khimasia ,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.75,0.75,0.75,0.75,0.5,0.25,0.5,0.75,0.25,0.75,0.5
146,Blonk,Anuj,0.75,1.0,0.75,0.75,0.75,0.75,0.25,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.5
147,Grosum,Anuj,0.5,0.5,1.0,0.5,0.5,0.75,0.75,1.0,0.75,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
